Home_Team,Opponent,URL,HT_Pts,Opp_Pts,FG,FGA,FG_Pct,Three_Pt,Three_Pt_Attempts,Three_Pt_Pct,Free_Throws,Free_Throw_Attempts,Free_Throw_Pct,Offensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls
akron,Northern Illinois,northern-illinois,67,65,20,56,0.357,14,35,0.4,13,16,0.813,7,30,14,7,2,13,19
akron,Ohio,ohio,65,53,25,60,0.417,7,24,0.292,8,11,0.727,14,39,11,6,5,13,21
akron,Toledo,toledo,52,63,18,64,0.281,3,21,0.143,13,16,0.813,8,38,3,2,1,8,17
akron,Kent State,kent-state,72,53,26,54,0.481,10,24,0.417,10,16,0.625,4,29,12,8,2,12,11
akron,Buffalo,buffalo,70,76,29,65,0.446,8,27,0.296,4,7,0.571,8,26,13,9,3,14,20
akron,Ball State,ball-state,56,57,19,63,0.302,4,25,0.16,14,15,0.933,7,34,8,7,6,11,16
akron,Bowling Green State,bowling-green-state,69,73,26,70,0.371,10,32,0.313,7,10,0.7,9,39,13,4,3,10,17
akron,Miami (OH),miami-oh,70,58,24,51,0.471,11,25,0.44,11,18,0.611,4,33,16,9,4,13,19
alabama-am,South Florida,south-florida,63,80,22,52,0.423,9,25,0.36,10,14,0.714,8,22,18,11,0,21,24
alabama-am,Houston,houston,54,101,22,54,0.407,7,21,0.333,3,6,0.5,2,14,11,5,1,15,14
alabama-am,Rice,rice,59,73,23,64,0.359,5,25,0.2,8,13,0.615,10,27,10,9,2,10,16
alabama-am,BYU,bringham-young,60,91,23,66,0.348,7,17,0.412,7,12,0.583,8,34,14,2,2,9,21
alabama-am,Northwestern State,northwestern-state,66,70,26,58,0.448,4,16,0.25,10,15,0.667,12,41,18,5,4,22,20
alabama-am,Fordham,fordham,46,77,14,53,0.264,2,16,0.125,16,20,0.8,8,22,9,4,1,11,9
alabama-am,Alabama-Birmingham,alabama-birmingham,57,67,21,57,0.368,7,21,0.333,8,16,0.5,7,24,14,8,3,13,12
alabama-am,Austin Peay,austin-peay,61,73,22,49,0.449,3,13,0.231,14,25,0.56,8,27,9,7,0,25,31
alabama-am,Samford,samford,59,77,23,64,0.359,3,18,0.167,10,17,0.588,9,24,12,10,0,14,21
alabama-am,South Alabama,south-alabama,67,79,24,53,0.453,10,18,0.556,9,17,0.529,5,23,13,7,1,18,17
alabama-am,La Salle,la-salle,57,80,21,66,0.318,5,22,0.227,10,19,0.526,14,31,9,15,2,15,16
alabama-am,Tulane,tulane,67,59,27,63,0.429,8,25,0.32,5,11,0.455,10,37,13,10,2,12,15
alabama-am,Hawaii,hawaii,63,71,24,58,0.414,10,26,0.385,5,7,0.714,2,24,11,12,2,13,18
alabama-am,Pepperdine,pepperdine,64,100,24,54,0.444,11,23,0.478,5,11,0.455,10,26,19,8,1,24,19
alabama-am,Jackson State,jackson-state,51,54,21,69,0.304,2,13,0.154,7,14,0.5,15,34,5,13,1,6,18
alabama-am,Grambling,grambling,65,60,21,48,0.438,6,16,0.375,17,28,0.607,4,37,14,5,2,18,24
alabama-am,Mississippi Valley State,mississippi-valley-state,63,72,24,64,0.375,6,19,0.316,9,12,0.75,15,35,3,3,1,14,15
